dt,AverageTemperature,Country,coal_production
1990,7.636,China,6279.52
1990,9.52158,United States,6260.927
1990,9.32042,Europe,5708.192
1990,-4.02292,Russia,2158.076
1990,9.6895,Germany,1454.182
1990,22.3558,Australia,1334.601
1990,24.1782,India,1236.167
1990,24.7037,Africa,1221.226
1990,17.7283,South Africa,1164.732
1990,9.23167,Poland,1162.502
1990,9.40083,Ukraine,1009.58
1990,6.55575,Kazakhstan,663.758
1990,9.67458,United Kingdom,656.432
1990,-5.02192,Canada,464.75
1990,8.17908,North Korea,246.276
1990,25.2192,Colombia,164.25
1990,12.0325,Turkey,136.336
1990,14.7621,Spain,132.384
1990,10.226,Romania,96.108
1990,14.0388,France,90.485
1990,13.2295,South Korea,90.105
1990,15.4993,Greece,82.788
1990,26.2378,Indonesia,73.534
1990,11.5977,Bulgaria,59.207
1990,10.9203,Hungary,57.094
1990,13.5906,Japan,53.757
1990,26.5907,Thailand,41.606
1990,22.1303,Zimbabwe,41.245
1990,20.9608,Mexico,39.377
1990,0.66225,Mongolia,37.872
1990,24.2741,Vietnam,33.215
1990,13.4631,Uzbekistan,21.223
1990,25.2749,Brazil,19.621
1990,25.5948,Venezuela,18.253
1990,11.2693,New Zealand,17.424
1990,21.3764,Pakistan,14.736
1990,9.83125,Chile,11.19
1990,18.4264,Iran,8.8
1990,7.344,Austria,8.306
1990,26.9323,Philippines,8.039
1990,13.7169,Italy,7.89
1990,10.9353,Belgium,5.84
1990,13.4687,Albania,5.667
1990,22.9448,Botswana,5.187
1990,18.6977,Morocco,4.36
1990,22.4728,Taiwan,3.755
1990,22.2193,Zambia,3.273
1990,2.0665,Norway,2.492
1990,15.1551,Argentina,1.813
1990,15.7428,Portugal,1.134
1990,28.0481,Niger,0.914
1990,20.2331,Peru,0.768
1990,26.4189,Malaysia,0.699
1990,27.3662,Nigeria,0.68
1990,14.9933,Afghanistan,0.61
1990,22.2802,Malawi,0.367
1990,10.3127,Ireland,0.2
1990,24.0144,Algeria,0.079
1990,4.49792,Sweden,0.073
1990,22.7143,Tanzania,0.03
1990,12.2056,Bhutan,0.01
1990,24.0573,Laos,0.005
