dt,AverageTemperature,Country,coal_production
1990,14.9933,Afghanistan,0.61
1990,24.7037,Africa,1221.226
1990,13.4687,Albania,5.667
1990,24.0144,Algeria,0.079
1990,27.1562,American Samoa,0.0
1990,22.4664,Angola,0.0
1990,15.1551,Argentina,1.813
1990,28.2433,Aruba,0.0
1990,22.3558,Australia,1334.601
1990,7.344,Austria,8.306
1990,11.992,Azerbaijan,
1990,25.9923,Bahamas,0.0
1990,26.3446,Bahrain,0.0
1990,25.2817,Bangladesh,0.0
1990,26.9432,Barbados,0.0
1990,7.75742,Belarus,
1990,10.9353,Belgium,5.84
1990,25.5503,Belize,0.0
1990,27.7938,Benin,0.0
1990,12.2056,Bhutan,0.01
1990,21.3261,Bolivia,0.0
1990,22.9448,Botswana,5.187
1990,25.2749,Brazil,19.621
1990,26.8217,British Virgin Islands,0.0
1990,11.5977,Bulgaria,59.207
1990,28.8063,Burkina Faso,0.0
1990,20.4093,Burundi,0.0
1990,27.2593,Cambodia,0.0
1990,24.8897,Cameroon,0.0
1990,-5.02192,Canada,464.75
1990,24.7453,Cape Verde,0.0
1990,27.3614,Cayman Islands,0.0
1990,25.7159,Central African Republic,0.0
1990,27.6193,Chad,0.0
1990,9.83125,Chile,11.19
1990,7.636,China,6279.52
1990,25.2192,Colombia,164.25
1990,26.1532,Comoros,0.0
1990,24.7665,Congo,0.0
1990,26.2903,Costa Rica,0.0
1990,12.4344,Croatia,
1990,26.1334,Cuba,0.0
1990,19.1944,Cyprus,0.0
1990,-17.8703,Denmark,0.0
1990,29.303,Djibouti,0.0
1990,26.6298,Dominica,0.0
1990,26.1712,Dominican Republic,0.0
1990,22.4347,Ecuador,0.0
1990,23.0914,Egypt,0.0
1990,25.5665,El Salvador,0.0
1990,25.285,Equatorial Guinea,0.0
1990,6.69858,Estonia,
1990,23.3796,Ethiopia,0.0
1990,9.32042,Europe,5708.192
1990,25.4005,Fiji,0.0
1990,2.94325,Finland,0.0
1990,14.0388,France,90.485
