dt,AverageTemperature,Country,oil_production
1990,14.9933,Afghanistan,
1990,24.7037,Africa,3696.372
1990,13.4687,Albania,20.252
1990,24.0144,Algeria,678.674
1990,27.1562,American Samoa,
1990,22.4664,Angola,271.909
1990,15.1551,Argentina,295.827
1990,28.2433,Aruba,
1990,22.3558,Australia,352.099
1990,7.344,Austria,14.636
1990,11.992,Azerbaijan,145.375
1990,25.9923,Bahamas,
1990,26.3446,Bahrain,28.731
1990,25.2817,Bangladesh,0.583
1990,26.9432,Barbados,
1990,7.75742,Belarus,
1990,10.9353,Belgium,0.0
1990,25.5503,Belize,
1990,27.7938,Benin,2.63
1990,12.2056,Bhutan,
1990,21.3261,Bolivia,14.743
1990,22.9448,Botswana,0.0
1990,25.2749,Brazil,396.906
1990,26.8217,British Virgin Islands,
1990,11.5977,Bulgaria,2.518
1990,28.8063,Burkina Faso,
1990,20.4093,Burundi,
1990,27.2593,Cambodia,0.0
1990,24.8897,Cameroon,102.529
1990,-5.02192,Canada,1078.774
1990,24.7453,Cape Verde,
1990,27.3614,Cayman Islands,
1990,25.7159,Central African Republic,
1990,27.6193,Chad,
1990,9.83125,Chile,17.709
1990,7.636,China,1608.545
1990,25.2192,Colombia,271.833
1990,26.1532,Comoros,
1990,24.7665,Congo,93.377
1990,26.2903,Costa Rica,
1990,12.4344,Croatia,
1990,26.1334,Cuba,10.513
1990,19.1944,Cyprus,0.0
1990,-17.8703,Denmark,68.577
1990,29.303,Djibouti,
1990,26.6298,Dominica,
1990,26.1712,Dominican Republic,0.0
1990,22.4347,Ecuador,180.53
1990,23.0914,Egypt,529.153
1990,25.5665,El Salvador,0.0
1990,25.285,Equatorial Guinea,
1990,6.69858,Estonia,
1990,23.3796,Ethiopia,0.0
1990,9.32042,Europe,2595.16
1990,25.4005,Fiji,
1990,2.94325,Finland,0.0
1990,14.0388,France,43.495
1990,26.2297,French Guiana,
1990,26.8492,French Polynesia,
1990,24.5708,Gabon,156.924
1990,28.1357,Gambia,
1990,9.6895,Germany,45.558
