dt,AverageTemperature,Country,gas_production
1990,-4.02292,Russia,5995.9
1990,9.52158,United States,4833.779
1990,9.32042,Europe,2431.962
1990,-5.02192,Canada,1034.478
1990,15.9264,Turkmenistan,792.426
1990,24.7037,Africa,721.591
1990,11.0003,Netherlands,634.167
1990,24.0144,Algeria,516.57
1990,9.67458,United Kingdom,476.039
1990,26.2378,Indonesia,445.398
1990,13.4631,Uzbekistan,368.06
1990,26.0188,Saudi Arabia,318.44
1990,10.226,Romania,266.453
1990,9.40083,Ukraine,265.941
1990,20.9608,Mexico,263.861
1990,2.0665,Norway,252.884
1990,18.4264,Iran,247.18
1990,25.5948,Venezuela,243.817
1990,22.3558,Australia,206.111
1990,28.2601,United Arab Emirates,196.072
1990,26.4189,Malaysia,180.114
1990,15.1551,Argentina,173.494
1990,13.7169,Italy,163.166
1990,7.636,China,154.183
1990,9.6895,Germany,150.246
1990,24.1782,India,115.927
1990,21.3764,Pakistan,102.12
1990,11.992,Azerbaijan,96.518
1990,23.0914,Egypt,77.674
1990,26.5907,Thailand,67.499
1990,27.3203,Qatar,65.205
1990,26.3446,Bahrain,60.767
1990,23.101,Libya,58.9
1990,6.55575,Kazakhstan,50.429
1990,10.9203,Hungary,49.192
1990,25.2817,Bangladesh,45.742
1990,25.7586,Kuwait,39.805
1990,25.2192,Colombia,39.246
1990,27.3662,Nigeria,38.39
1990,22.5415,Iraq,37.81
1990,-17.8703,Denmark,32.703
1990,14.0388,France,32.559
1990,25.2749,Brazil,31.455
1990,21.3261,Bolivia,31.366
1990,9.23167,Poland,27.655
1990,13.5906,Japan,26.279
1990,27.4445,Oman,24.477
1990,10.3127,Ireland,24.27
1990,9.83125,Chile,19.36
1990,14.7621,Spain,16.385
1990,18.5432,Syria,15.922
1990,7.344,Austria,13.292
1990,22.4664,Angola,5.835
1990,20.929,Tunisia,4.351
1990,20.2331,Peru,4.288
1990,13.4687,Albania,2.765
1990,12.0325,Turkey,2.258
1990,15.4993,Greece,1.645
1990,22.4347,Ecuador,1.525
1990,19.9216,Jordan,1.41
1990,24.5708,Gabon,0.921
1990,18.6977,Morocco,0.614
1990,24.2741,Vietnam,0.386
1990,26.1334,Cuba,0.35
1990,20.1298,Israel,0.323
1990,10.9353,Belgium,0.124
1990,11.5977,Bulgaria,0.098
