dt,AverageTemperature,Country,gas_production
2013,11.2971,United States,6556.927
2013,-2.26313,Russia,6144.962
2013,9.67025,Europe,2800.252
2013,25.2088,Africa,1991.017
2013,28.5738,Qatar,1678.892
2013,20.541,Iran,1575.281
2013,-1.64067,Canada,1519.204
2013,9.295,China,1218.107
2013,1.73537,Norway,1079.304
2013,27.7407,Saudi Arabia,950.285
2013,25.1215,Algeria,793.389
2013,26.467,Indonesia,776.237
2013,26.9735,Malaysia,725.886
2013,9.8565,Netherlands,724.056
2013,22.1429,Australia,602.5
2013,18.6135,Turkmenistan,589.614
2013,16.1883,Uzbekistan,559.02
2013,24.5053,Egypt,539.648
2013,29.3706,United Arab Emirates,532.35
2013,22.2192,Mexico,524.88
2013,27.8649,Thailand,389.347
2013,8.9975,United Kingdom,369.804
2013,22.3209,Pakistan,355.857
2013,14.4571,Argentina,345.559
2013,28.0059,Nigeria,330.996
2013,8.93725,Kazakhstan,311.277
2013,25.4133,India,310.631
2013,28.1944,Oman,307.859
2013,25.9129,Venezuela,305.905
2013,25.9675,Bangladesh,219.528
2013,25.3481,Brazil,219.496
2013,10.9135,Ukraine,201.586
2013,20.6409,Bolivia,195.755
2013,14.1739,Azerbaijan,174.464
2013,27.2734,Kuwait,154.956
2013,27.9254,Bahrain,139.578
2013,25.5795,Colombia,132.235
2013,19.9763,Peru,123.991
2013,24.314,Libya,121.6
2013,28.1298,Yemen,103.53
2013,11.6455,Romania,100.019
2013,25.2321,Vietnam,94.097
2013,9.23525,Germany,86.041
2013,14.165,Italy,73.675
2013,24.2405,Iraq,70.727
2013,23.488,Mozambique,60.603
2013,20.0211,Syria,49.952
2013,-14.9272,Denmark,49.736
2013,21.2224,Israel,48.531
2013,9.25788,Poland,44.463
2013,12.9648,Japan,35.525
2013,21.8871,Tunisia,20.371
2013,12.3015,Hungary,19.973
2013,25.1394,Congo,17.896
2013,13.589,Croatia,15.638
2013,8.05513,Austria,15.399
2013,17.3254,South Africa,12.798
2013,26.2504,Cuba,10.954
2013,9.87737,Chile,10.634
2013,22.5079,Angola,10.032
2013,12.8436,Serbia,6.384
2013,14.0266,Turkey,5.725
2013,22.2641,Ecuador,5.634
2013,13.5846,France,3.742
2013,24.8385,Gabon,3.449
2013,13.4119,Bulgaria,2.911
2013,9.97475,Ireland,1.877
2013,21.3191,Jordan,1.441
2013,9.68562,Slovakia,1.35
2013,19.3053,Morocco,1.04
2013,14.8589,Spain,0.656
2013,29.3015,Senegal,0.559
2013,8.2665,Belarus,0.408
2013,6.26312,Kyrgyzstan,0.347
2013,14.9939,Albania,0.197
2013,6.56262,Tajikistan,0.141
2013,17.1535,Greece,0.075
2013,10.6866,Georgia,0.058
2013,11.7447,Slovenia,0.033
