dt,AverageTemperature,Country,coal_production
2013,9.295,China,22034.136
2013,11.2971,United States,5568.713
2013,22.1429,Australia,3323.743
2013,26.467,Indonesia,3252.485
2013,25.4133,India,2974.117
2013,9.67025,Europe,2620.927
2013,-2.26313,Russia,2013.351
2013,25.2088,Africa,1771.993
2013,17.3254,South Africa,1689.397
2013,25.5795,Colombia,683.024
2013,9.25788,Poland,664.765
2013,8.93725,Kazakhstan,597.506
2013,9.23525,Germany,524.756
2013,10.9135,Ukraine,444.476
2013,-1.64067,Canada,423.781
2013,25.2321,Vietnam,267.439
2013,8.4915,North Korea,222.443
2013,14.0266,Turkey,179.699
2013,2.80775,Mongolia,176.426
2013,8.9975,United Kingdom,92.729
2013,12.8436,Serbia,89.81
2013,22.2192,Mexico,83.299
2013,17.1535,Greece,78.25
2013,13.4119,Bulgaria,55.695
2013,27.8649,Thailand,54.447
2013,11.6455,Romania,54.157
2013,23.488,Mozambique,49.188
2013,27.4168,Philippines,46.583
2013,25.3481,Brazil,42.165
2013,11.0885,New Zealand,33.528
2013,20.7107,Zimbabwe,23.353
2013,14.8589,Spain,20.498
2013,12.3015,Hungary,18.744
2013,26.9735,Malaysia,18.226
2013,22.3209,Pakistan,15.606
2013,9.87737,Chile,15.521
2013,1.73537,Norway,15.255
2013,16.1883,Uzbekistan,13.355
2013,11.7447,Slovenia,12.929
2013,25.9129,Venezuela,10.437
2013,21.8257,Botswana,9.772
2013,13.7605,South Korea,9.499
2013,20.541,Iran,8.408
2013,12.9648,Japan,8.158
2013,16.5336,Afghanistan,7.82
2013,9.68562,Slovakia,7.35
2013,6.26312,Kyrgyzstan,6.488
2013,25.9675,Bangladesh,5.236
2013,25.3853,Laos,5.139
2013,12.8704,Montenegro,4.561
2013,6.56262,Tajikistan,3.379
2013,19.9763,Peru,2.537
2013,10.6866,Georgia,2.058
2013,29.2314,Niger,1.436
2013,21.196,Zambia,1.263
2013,22.7728,Tanzania,0.64
2013,14.165,Italy,0.568
2013,14.4571,Argentina,0.545
2013,21.2694,Malawi,0.49
2013,13.3314,Bhutan,0.378
2013,28.0059,Nigeria,0.332
2013,15.9513,Nepal,0.067
2013,24.5053,Egypt,0.023
2013,14.9939,Albania,0.008
